noise,edge,contrasts,ncorrect,ntrials,vp
NB05,0.95,0.00001,24,40,1
NB05,0.95,0.001883,25,40,1
NB05,0.95,0.003755,38,40,1
NB05,0.95,0.005627,40,40,1
NB05,0.95,0.0075,40,40,1
NB05,0.95,0.00001,19,40,2
NB05,0.95,0.001883,13,40,2
NB05,0.95,0.003755,31,40,2
NB05,0.95,0.005627,39,40,2
NB05,0.95,0.0075,39,40,2
NB05,0.95,0.00001,24,40,3
NB05,0.95,0.001883,30,40,3
NB05,0.95,0.003755,37,40,3
NB05,0.95,0.005627,39,40,3
NB05,0.95,0.0075,39,40,3
NB05,0.95,0.00001,17,40,4
NB05,0.95,0.001883,28,40,4
NB05,0.95,0.003755,24,40,4
NB05,0.95,0.005627,35,40,4
NB05,0.95,0.0075,40,40,4
NB05,0.95,0.00001,15,40,5
NB05,0.95,0.001883,26,40,5
NB05,0.95,0.003755,30,40,5
NB05,0.95,0.005627,37,40,5
NB05,0.95,0.0075,40,40,5
NB3,0.048,0.00001,107,240,pooled
NB3,0.048,0.001508,123,240,pooled
NB3,0.048,0.003005,154,240,pooled
NB3,0.048,0.004502,173,240,pooled
NB3,0.048,0.006,216,240,pooled
NB3,0.048,0.00001,19,40,0
NB3,0.048,0.001508,25,40,0
NB3,0.048,0.003005,29,40,0
NB3,0.048,0.004502,37,40,0
NB3,0.048,0.006,40,40,0
NB3,0.048,0.00001,19,40,1
NB3,0.048,0.001508,22,40,1
NB3,0.048,0.003005,37,40,1
NB3,0.048,0.004502,40,40,1
NB3,0.048,0.006,40,40,1
NB3,0.048,0.00001,15,40,2
NB3,0.048,0.001508,17,40,2
NB3,0.048,0.003005,20,40,2
NB3,0.048,0.004502,31,40,2
NB3,0.048,0.006,37,40,2
NB3,0.048,0.00001,19,40,3
NB3,0.048,0.001508,19,40,3
NB3,0.048,0.003005,24,40,3
NB3,0.048,0.004502,20,40,3
NB3,0.048,0.006,35,40,3
NB3,0.048,0.00001,18,40,4
NB3,0.048,0.001508,22,40,4
NB3,0.048,0.003005,21,40,4
NB3,0.048,0.004502,25,40,4
NB3,0.048,0.006,35,40,4
NB3,0.048,0.00001,17,40,5
NB3,0.048,0.001508,18,40,5
NB3,0.048,0.003005,23,40,5
NB3,0.048,0.004502,20,40,5
NB3,0.048,0.006,29,40,5
NB3,0.15,0.00001,116,240,pooled
NB3,0.15,0.003757,143,240,pooled
NB3,0.15,0.007505,199,240,pooled
NB3,0.15,0.011252,229,240,pooled
NB3,0.15,0.015,238,240,pooled
NB3,0.15,0.00001,19,40,0
NB3,0.15,0.003757,24,40,0
NB3,0.15,0.007505,38,40,0
NB3,0.15,0.011252,40,40,0
NB3,0.15,0.015,40,40,0
NB3,0.15,0.00001,17,40,1
NB3,0.15,0.003757,33,40,1
NB3,0.15,0.007505,40,40,1
NB3,0.15,0.011252,40,40,1
NB3,0.15,0.015,40,40,1
NB3,0.15,0.00001,19,40,2
NB3,0.15,0.003757,20,40,2
NB3,0.15,0.007505,30,40,2
NB3,0.15,0.011252,40,40,2
NB3,0.15,0.015,39,40,2
NB3,0.15,0.00001,20,40,3
NB3,0.15,0.003757,26,40,3
NB3,0.15,0.007505,31,40,3
NB3,0.15,0.011252,36,40,3
NB3,0.15,0.015,40,40,3
NB3,0.15,0.00001,21,40,4
NB3,0.15,0.003757,23,40,4
NB3,0.15,0.007505,25,40,4
NB3,0.15,0.011252,36,40,4
NB3,0.15,0.015,40,40,4
NB3,0.15,0.00001,20,40,5
NB3,0.15,0.003757,17,40,5
NB3,0.15,0.007505,35,40,5
NB3,0.15,0.011252,37,40,5
NB3,0.15,0.015,39,40,5
NB3,0.95,0.00001,115,240,pooled
NB3,0.95,0.007507,134,240,pooled
NB3,0.95,0.015005,185,240,pooled
NB3,0.95,0.022502,227,240,pooled
NB3,0.95,0.03,238,240,pooled
NB3,0.95,0.00001,18,40,0
NB3,0.95,0.007507,24,40,0
